Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,HDMI - USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12ve-082xtr-intel-core-i5-12450h-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-761160346,29.999 TL,MSI
16 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,8 GB,DDR4,Siyah,512 GB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming3-15iah7-i5-12450h-8gb-512gb-ssd-6gb-geforce-rtx-3060-15-6-fhd-fdos-82s9016ptx-p-746304898,26.999 TL,LENOVO
128 GB,USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,240 Hz,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,2 TB,Gen 4,,2.2,2560 x 1600,QHD+,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/raider-ge78hx-13vg-020us-i9-13950hx-32gb-ram-2tb-nvme-rtx-4070-8gb-gddr6-17-3-240hz-ips-win11-p-743556879,84.599 TL,MSI
,HDMI,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,Belirtilmemiş,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR4,Mavi,512 GB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/vivobook-m6500re-hn037-ryzen-7-6800h-16gb-512gb-ssd-4gb-rtx3050ti-15-6-fdos-p-445299126,"35.199,99 TL",ASUS
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,1 TB,,,2.2,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6141-intel-i9-13980hx-16gb-ddr5-1tb-pcie-ssd-8gb-rtx4070-18-qhd-240hz-fdos-p-738003742,71.699 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,360 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//gigabyte/aorus-7-9mf-i5-12500h-16gb-512gb-rtx4050-6gb-17-3-360hz-freedos-gaming-notebook-p-736544747,39.999 TL,Gigabyte
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,60 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,14,Free Dos,,https://www.trendyol.com//hp/omen-6-wf0033nt-i5-13500hx-16gb-512gb-ssd-8gb-geforce-rtx-4060-16-1-inc-fhd-freedos-siyah-7q7y5ea-p-752366887,42.499 TL,HP
,Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",RTX A4500,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,TN,16 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),1165G7,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//acer/aspire-3-a315-58-pypypy-i7-1165g7-16gb-ram-512gb-ssd-iris-xe-graphics-15-6-win-11-pro-p-742275955,22.979 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dxb0x-b-intel-core-i5-12450h-32gb-ram-2tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672181605,34.989 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-bfa0x-b-intel-core-i5-12450h-16gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672181043,31.149 TL,Casper
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR4,Siyah,1 TB,,,2.3,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1265-bfj0x-b-intel-core-i7-12650h-16gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975829,27.599 TL,Casper
,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0009nt-7p6k6ea-i7-13700h-16gb-512gb-ssd-8gb-rtx-4070-144hz-16-1-fhd-freedos-gaming-p-742850520,45.699 TL,HP
,Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,WQHD,7845HX,7. Nesil,AMD Ryzen 9,12,Free Dos,,https://www.trendyol.com//asus/rog-strix-g17-g713pi-ll080-8gb-rtx4070-140w-ryzen-9-7845hx-16gb-ram-1tb-ssd-17-3-inc-wqhd-240hz-p-758128500,66.499 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3080,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Siyah,1 TB,,,3.2,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-45-amd-ryzen-7-5800h-32-gb-1-tb-ssd-rtx-3080-8-gb-freedos-15-6-fhd-144-hz-tasina-p-764608599,36.899 TL,ACER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/vector-17-gp78hx-13vh-479xtr-i9-13950hx-32gb-ddr5-rtx4080-gddr6-12gb-2tb-ssd-240hz-qhd-freedos-p-770027602,93.499 TL,MSI
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.5,,,IPS,8 GB,DDR4,Siyah,512 GB,,,2.7,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-hn409-intel-i5-11400h-8gb-512gb-ssd-rtx3050-144hz-dos-15-6-fhd-notebook-p-446433335,28.999 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,IPS,32 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn194a3-ryzen7-6800hs-32gb-512ssd-rtx3050-15-6-fullhd-freedos-tasinabilir-p-684483621,35.509 TL,ASUS
32 GB,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3070Ti,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,,,3.2,2560 x 1600,WQXGA,6800H,6. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//lenovo/legion-5-pro-16arh7h-r7-6800h-16-wqxga-16gb-512gb-rtx-3070ti-q-us-klavye-w11h-1yil-garanti-p-698133094,43.800 TL,LENOVO
32 GB,HDMI,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR4,Gri,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn010-intel-i7-12700h-16gb-ddr4-512gb-ssd-rtx3050-15-6-fhd-144hz-dos-p-678474065,38.599 TL,ASUS
32 GB,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,16,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp030-amd-ryzen-7-7735hs-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-711632611,32.989 TL,ASUS
,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR4,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-e0052nt-amd-ryzen-r7-5800h-16-gb-1-tb-ssd-6-gb-rtx3060-16-1-mavi-144hz-fhd-54s73ea-p-462193894,33.999 TL,HP
,USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,360 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,Anti-Glare,16 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//gigabyte/aorus-7-9kf-e3ee513sd-i5-12500h-16gb-512gb-ssd-8gb-rtx-4060-360hz-17-3-full-hd-dos-gaming-p-736461064,43.999 TL,Gigabyte
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,13. Nesil,Intel Core i5,10,Linux,,https://www.trendyol.com//dell/g15-5530-i5-13450hx-16gb-512gb-ssd-6gb-rtx4050-15-6-fhd-165hz-ubuntu-g155530008u-p-760912225,30.719 TL,Dell
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,2560 x 1600,QHD,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-freedos-16-qhd-165-hz-p-742790557,59.999 TL,Monster
,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,GDDR6,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//hp/250-g9-6q8m6es-i5-1235u-8gb-512ssd-mx550-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-387373978,"19.199,99 TL",HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0063nta17-amd-ryzen-5-7640hs-16gb-512gb-ssd-rtx4050-freedos-16-8q4k3eaa17-p-787808099,"30.869,80 TL",HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,500 GB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-intel-core-i7-13700h-16-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035967,39.699 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-1-intel-core-i7-13700h-16gb-ram-1-tb-ssd-6gb-rtx-4050-windows-11-17-3-fhd-144hz-p-737899772,44.599 TL,Monster
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,DDR5,8 GB,Harici,240 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Gri,1 TB,,,,2560 x 1440,QHD,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0001nt-intel-i7-13700h-32gb-1tb-ssd-16-1-qhd-240hz-3ms-8gb-rtx-4070-freedos-7p6e8ea-p-737845307,54.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/loq-intel-core-i5-12450h-16gb-512gb-ssd-rtx4050-6gb-dos-15-6-144hz-gaming-laptop-82xv00fytx-p-773962717,29.999 TL,LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,14 inç,Nvidia GeForce RTX 4090,GDDR6X,16 GB,Dahili,165 Hz,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,32 GB,DDR5,Beyaz,1 TB,,,,2560 x 1600,QHD,7940HS,7. Nesil,AMD Ryzen 9,12,Windows,,https://www.trendyol.com//asus/vr-ready-rog-zephyrus-14-165hz-laptop-ryzen9-7940hs-32gb-ram-nvidia-geforce-rtx-4090-1tb-ssd-beyaz-p-788723774,151.950 TL,ASUS
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-16-wf0023nt-i7-13700hx-16gb-ram-1tb-ssd-8gb-rtx-4070-16-1-inc-fhd-freedos-siyah-7q7x5ea-p-746138709,53.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-82s9016mtx-i5-12450h-16gb-1tb-rtx3050ti-120hz-freedos-gaming-laptop-p-767233054,28.099 TL,LENOVO
,Bluetooth - HDMI,,2 kg ve Altı,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,2 TB,,,4,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Windows,3 Saat ve Altı,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6040w-intel-core-i9-13980hx-32gb-ram-1tb-1tb-ssd-16gb-rtx4090-w11h-p-735698799,149.999 TL,ASUS
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.2,,Yok,IPS,8 GB,DDR4,Siyah,512 GB,,,3.3,1920 x 1080,Full HD (FHD),5600H,Belirtilmemiş,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/pavilion-15-ec2059nt-amd-ryzen-5-5600h-8gb-512gb-ssd-gtx-1650-15-6-fhd-144-hz-ips-freedos-68n74ea-p-290126990,25.999 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xi-lp041-8gb-rtx4070-140w-ryzen-9-7940hs-16gb-ram-512gb-ssd-15-6-fhd-144hz-p-737000093,52.499 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g770-1245-8vj0x-b-intel-core-i5-12450h-8gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975826,25.099 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR4,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//casper/excalibur-g870-1265-exb0r-b-intel-core-i7-12650h-64gb-ram-2tb-nvme-ssd-8gb-rtx4060-windows-11-pro-p-737917516,45.999 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,Paylaşımlı,Dahili,90 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/loq-intel-i5-12450h-8gb-ram-512gb-ssd-nvidia-geforce-rtx-4050-6gb-gddr6-15-6-fhd-ips-w11-gri-p-769527185,28.499 TL,LENOVO
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,32 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0065nt-8w8a7ea-amd-ryzen-7-7840hs-32gb-ram-1tb-ssd-8gb-rtx-4070-16-1-fhd-freedos-mavi-p-770054791,48.499 TL,HP
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,,,IPS,16 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0060nt-amd-ryzen-7-7840hs-16gb-1-tb-ssd-rtx3050-6gb-16-1-freedos-144-hz-tasinabilir-b-p-749670388,29.399 TL,HP
128 GB,USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,240 Hz,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,64 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD+,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/raider-ge78hx-13vg-020us-i9-13950hx-64gb-ram-2tb-nvme-rtx-4070-8gb-gddr6-17-3-240hz-ips-win11-p-746972691,89.999 TL,MSI
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,24 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,QHD,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-24gb-1tb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767864206,27.260 TL,ACER
,USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR5,8 GB,Harici,Belirtilmemiş,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,1 TB,,,3.7,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//msi/pulse-17-i7-13700h-16gb-ddr5-rtx4060-8gb-1tb-ssd-17-3-dos-p-789060362,63.000 TL,MSI
,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.9,,Yok,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jz-n3040-intel-core-i7-13650hx-16-gb-1-tb-ssd-rtx-4080-165-hz-freedos-16-fhd-p-652662291,69.499 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4a42-hn008a42-intel-i7-12700h-32gb-1tb-ssd-rtx3050-windows-11-pro-15-6-p-704188391,"37.535,77 TL",ASUS
